system:index,LST,NDBI,NDVI,UHI,.geo
8,34.400428803097384,0.07474818080663681,0.31635263562202454,0.3200636491882637,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,34.30267304373797,0.04774297773838043,0.37048032879829407,0.30697522306844915,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,37.71628218129604,0.08848608285188675,0.2498188018798828,0.7640201203883449,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,37.6628742804881,0.13142289221286774,0.16563363373279572,0.7568693870860846,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,39.329790355808655,0.0979754850268364,0.35597968101501465,0.9800512031011316,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,34.13196224248145,0.014058194123208523,0.4339923560619354,0.28411891542231477,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,36.51420889055015,0.05631431192159653,0.34419333934783936,0.6030756649452246,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,37.20505646195954,0.06725888699293137,0.21802712976932526,0.6955725925707396,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,33.3590768133372,0.09021264314651489,0.374157577753067,0.18063801665252419,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,32.48128965127273,0.04526268690824509,0.37604549527168274,0.06311192412469994,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,35.160122972907004,0.01464812457561493,0.32012465596199036,0.42177838272789253,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,38.75922851661204,0.013157520443201065,0.3530789911746979,0.9036592183419123,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,39.33607963402386,0.0379958301782608,0.3870678246021271,0.9808932686101727,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,38.03670882924956,0.06297045946121216,0.3041780889034271,0.806921741080994,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,37.70894958008802,0.09143486618995667,0.32507097721099854,0.7630383653510342,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,38.28719629247928,0.04034615680575371,0.37041613459587097,0.8404592705105184,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,36.262370532909074,3.841989382635802E-4,0.4795094132423401,0.5693572655412392,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,28.330955545086738,0.011236868798732758,0.333671510219574,-0.4925723821230803,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,38.2267367829844,0.03338884934782982,0.4680930972099304,0.8323644039937079,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,40.59101972071073,0.04541595280170441,0.37740597128868103,1.148916009336934,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,38.76622136095358,0.07320684939622879,0.4217560887336731,0.9045954836538629,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,35.97806462296933,0.008418923243880272,0.325084388256073,0.5312918162822171,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,36.058914240627985,0.07127581536769867,0.28126537799835205,0.5421166950870552,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,35.17059138042123,0.020811010152101517,0.4224553406238556,0.42317998790430245,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,41.41395754612785,0.1000203937292099,0.19666269421577454,1.2590983760819094,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,35.473125994618556,0.03916025906801224,0.42332199215888977,0.4636860611275669,"{""type"":""MultiPoint"",""coordinates"":[]}"
